"1.
Mission: Impossible - Dead Reckoning Part One
(2023)",(2023),PG-13,163 min,"Action, Adventure, Thriller",8.1,"81        
        Metascore",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"Votes:
78,986"
"2.
Sound of Freedom
(2023)",(2023),PG-13,131 min,"Action, Biography, Drama",8.0,"43        
        Metascore",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,"Votes:
31,345"
"3.
The Out-Laws
(2023)",(2023),R,95 min,"Action, Comedy, Crime",5.4,"36        
        Metascore","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Votes:
18,947"
"4.
Indiana Jones and the Dial of Destiny
(2023)",(2023),PG-13,154 min,"Action, Adventure",6.8,"58        
        Metascore",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"Votes:
79,432"
"5.
Guardians of the Galaxy Vol. 3
(2023)",(2023),PG-13,150 min,"Action, Adventure, Comedy",8.1,"64        
        Metascore","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
224,265"
"7.
Transformers: Rise of the Beasts
(2023)",(2023),PG-13,127 min,"Action, Adventure, Sci-Fi",6.2,"42        
        Metascore","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","Votes:
52,486"
"8.
Spider-Man: Across the Spider-Verse
(2023)",(2023),PG,140 min,"Animation, Action, Adventure",8.9,"86        
        Metascore","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Votes:
188,247"
"9.
Mission: Impossible - Fallout
(2018)",(2018),PG-13,147 min,"Action, Adventure, Thriller",7.7,"86        
        Metascore","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Votes:
354,804
| Gross:
$220.16M"
"10.
65
(2023)",(2023),PG-13,93 min,"Action, Adventure, Drama",5.4,"40        
        Metascore",An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Votes:
59,801"
"11.
The Flash
(2023)",(2023),PG-13,144 min,"Action, Adventure, Fantasy",7.0,"56        
        Metascore","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Votes:
107,230"
"12.
Mission: Impossible
(1996)",(1996),PG-13,110 min,"Action, Adventure, Thriller",7.1,"59        
        Metascore","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","Votes:
449,357
| Gross:
$180.98M"
"14.
Extraction II
(2023)",(2023),R,122 min,"Action, Thriller",7.1,"57        
        Metascore","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","Votes:
102,416"
"15.
John Wick: Chapter 4
(2023)",(2023),R,169 min,"Action, Crime, Thriller",7.8,"78        
        Metascore","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Votes:
245,389"
"16.
Nimona
(2023)",(2023),PG,101 min,"Animation, Action, Adventure",7.6,"75        
        Metascore","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
18,691"
"17.
Mission: Impossible - Rogue Nation
(2015)",(2015),PG-13,131 min,"Action, Adventure, Thriller",7.4,"75        
        Metascore",Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Votes:
392,434
| Gross:
$195.04M"
"18.
Dungeons & Dragons: Honor Among Thieves
(2023)",(2023),PG-13,134 min,"Action, Adventure, Comedy",7.3,"72        
        Metascore","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
153,512"
"19.
Avatar: The Way of Water
(2022)",(2022),PG-13,192 min,"Action, Adventure, Fantasy",7.6,"67        
        Metascore","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Votes:
435,524
| Gross:
$659.68M"
"21.
The Covenant
(2023)",(2023),R,123 min,"Action, Thriller, War",7.5,"63        
        Metascore","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","Votes:
85,194"
"22.
Raiders of the Lost Ark
(1981)",(1981),PG,115 min,"Action, Adventure",8.4,"85        
        Metascore","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Votes:
1,004,100
| Gross:
$248.16M"
"23.
Mission: Impossible - Ghost Protocol
(2011)",(2011),PG-13,132 min,"Action, Adventure, Thriller",7.4,"73        
        Metascore","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Votes:
509,835
| Gross:
$209.40M"
"24.
Mission: Impossible III
(2006)",(2006),PG-13,126 min,"Action, Adventure, Thriller",6.9,"66        
        Metascore",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,"Votes:
374,504
| Gross:
$134.03M"
