Movie Title,Rating,Runtime,Genres,IMDB User Rating,Metascore Rating,Description,Number of Votes
"1.
Indiana Jones and the Dial of Destiny
(2023)",PG-13,154 min,"Action, Adventure",6.9,"58        
        ",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"Votes:
71,063"
"2.
Sound of Freedom
(2023)",PG-13,131 min,"Action, Biography, Drama",8.2,"43        
        ",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,"Votes:
22,491"
"3.
Spider-Man: Across the Spider-Verse
(2023)",PG,140 min,"Animation, Action, Adventure",8.9,"86        
        ","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Votes:
182,518"
"4.
Mission: Impossible - Dead Reckoning Part One
(2023)",PG-13,163 min,"Action, Adventure, Thriller",8.1,"81        
        ",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"Votes:
45,855"
"5.
The Flash
(2023)",PG-13,144 min,"Action, Adventure, Fantasy",7.1,"56        
        ","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Votes:
88,374"
"6.
Nimona
(2023)",PG,101 min,"Animation, Action, Adventure",7.7,"75        
        ","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
15,615"
"7.
Extraction II
(2023)",R,122 min,"Action, Thriller",7.1,"57        
        ","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","Votes:
96,544"
"8.
Guardians of the Galaxy Vol. 3
(2023)",PG-13,150 min,"Action, Adventure, Comedy",8.1,"64        
        ","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
213,698"
"9.
Raiders of the Lost Ark
(1981)",PG,115 min,"Action, Adventure",8.4,"85        
        ","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Votes:
1,002,352
| Gross:
$248.16M"
"10.
The Out-Laws
(2023)",R,95 min,"Action, Comedy, Crime",5.4,"36        
        ","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Votes:
13,698"
"12.
Avatar: The Way of Water
(2022)",PG-13,192 min,"Action, Adventure, Fantasy",7.6,"67        
        ","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Votes:
432,086
| Gross:
$659.68M"
"13.
John Wick: Chapter 4
(2023)",R,169 min,"Action, Crime, Thriller",7.8,"78        
        ","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Votes:
240,878"
"14.
Indiana Jones and the Kingdom of the Crystal Skull
(2008)",PG-13,122 min,"Action, Adventure",6.2,"65        
        ","In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","Votes:
475,352
| Gross:
$317.10M"
"15.
Dungeons & Dragons: Honor Among Thieves
(2023)",PG-13,134 min,"Action, Adventure, Comedy",7.3,"72        
        ","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
150,366"
"16.
The Covenant
(2023)",R,123 min,"Action, Thriller, War",7.5,"63        
        ","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","Votes:
81,020"
"17.
Transformers: Rise of the Beasts
(2023)",PG-13,127 min,"Action, Adventure, Sci-Fi",6.3,"42        
        ","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","Votes:
45,411"
"18.
Independence Day
(1996)",PG-13,145 min,"Action, Adventure, Sci-Fi",7,"59        
        ","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","Votes:
590,159
| Gross:
$306.17M"
"19.
Indiana Jones and the Last Crusade
(1989)",PG-13,127 min,"Action, Adventure",8.2,"65        
        ","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Votes:
782,929
| Gross:
$197.17M"
"20.
Indiana Jones and the Temple of Doom
(1984)",PG,118 min,"Action, Adventure",7.5,"57        
        ","In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.","Votes:
515,814
| Gross:
$179.87M"
"21.
Extraction
(2020)",R,116 min,"Action, Thriller",6.8,"56        
        ","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","Votes:
241,539"
"22.
Fast X
(2023)",PG-13,141 min,"Action, Adventure, Crime",5.9,"56        
        ",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
78,228"
"23.
Ruby Gillman, Teenage Kraken
(2023)",PG,91 min,"Animation, Action, Adventure",5.9,"50        
        ","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Votes:
2,493"
"24.
Dune
(2021)",PG-13,155 min,"Action, Adventure, Drama",8,"74        
        ",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
692,458
| Gross:
$108.33M"
"25.
Knights of the Zodiac
(2023)",PG-13,112 min,"Action, Adventure, Drama",4.4,"35        
        ","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Votes:
6,493"
"27.
Spider-Man: Into the Spider-Verse
(2018)",PG,117 min,"Animation, Action, Adventure",8.4,"87        
        ",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Votes:
607,791
| Gross:
$190.24M"
"28.
Top Gun: Maverick
(2022)",PG-13,130 min,"Action, Drama",8.3,"78        
        ","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Votes:
608,168
| Gross:
$718.73M"
"29.
Mission: Impossible
(1996)",PG-13,110 min,"Action, Adventure, Thriller",7.1,"59        
        ","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","Votes:
446,588
| Gross:
$180.98M"
"30.
Kandahar
(2023)",R,119 min,"Action, Thriller",6,"52        
        ",A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"Votes:
13,200"
"31.
Mission: Impossible - Fallout
(2018)",PG-13,147 min,"Action, Adventure, Thriller",7.7,"86        
        ","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Votes:
351,841
| Gross:
$220.16M"
"32.
The Car
(1977)",PG,96 min,"Action, Horror, Mystery",6.1,"21        
        ","A small desert town is terrorized by a powerful, seemingly possessed car, and the local sheriff may be the only one who can stop it.","Votes:
11,200"
"33.
Nobody
(I) (2021)",R,92 min,"Action, Crime, Drama",7.4,"64        
        ","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","Votes:
293,560
| Gross:
$27.27M"
"34.
Everything Everywhere All at Once
(2022)",R,139 min,"Action, Adventure, Comedy",7.8,"81        
        ",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
462,533
| Gross:
$72.86M"
"35.
Sisu
(2022)",R,91 min,"Action, War",6.9,"70        
        ","When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.","Votes:
43,913"
"36.
The Batman
(2022)",PG-13,176 min,"Action, Crime, Drama",7.8,"72        
        ","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Votes:
710,616
| Gross:
$369.35M"
"37.
The Dark Knight
(2008)",PG-13,152 min,"Action, Crime, Drama",9,"84        
        ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,739,285
| Gross:
$534.86M"
"38.
The Machine
(I) (2023)",R,112 min,"Action, Comedy",5.9,"37        
        ",Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,"Votes:
7,631"
"39.
Ant-Man and the Wasp: Quantumania
(2023)",PG-13,124 min,"Action, Adventure, Comedy",6.1,"48        
        ","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Votes:
189,501"
"41.
Mission: Impossible - Rogue Nation
(2015)",PG-13,131 min,"Action, Adventure, Thriller",7.4,"75        
        ",Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Votes:
390,069
| Gross:
$195.04M"
"42.
Inception
(2010)",PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        ","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,430,834
| Gross:
$292.58M"
"43.
Bullet Train
(2022)",R,127 min,"Action, Comedy, Thriller",7.3,"49        
        ",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"Votes:
370,884
| Gross:
$103.37M"
"45.
The Patriot
(2000)",R,165 min,"Action, Drama, History",7.2,"63        
        ",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"Votes:
284,512
| Gross:
$113.33M"
"46.
Mission: Impossible III
(2006)",PG-13,126 min,"Action, Adventure, Thriller",6.9,"66        
        ",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,"Votes:
372,457
| Gross:
$134.03M"
"47.
Mission: Impossible II
(2000)",PG-13,123 min,"Action, Adventure, Thriller",6.1,"59        
        ","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","Votes:
359,080
| Gross:
$215.41M"
"48.
Mission: Impossible - Ghost Protocol
(2011)",PG-13,132 min,"Action, Adventure, Thriller",7.4,"73        
        ","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Votes:
507,558
| Gross:
$209.40M"
"49.
Top Gun
(1986)",PG,109 min,"Action, Drama",6.9,"50        
        ","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","Votes:
478,311
| Gross:
$179.80M"
